Pheromone scale: 13.6687, Pheromone offset: 12.7969, Clustering Coefficient: 0.0126, Characteristic Path Length: 12.1536, Small-World Metric: 0.0010
Pheromone scale: 18.9167, Pheromone offset: 5.9997, Clustering Coefficient: 0.0676, Characteristic Path Length: 11.8663, Small-World Metric: 0.0057
Pheromone scale: 16.6742, Pheromone offset: 6.4287, Clustering Coefficient: 0.0587, Characteristic Path Length: 11.5646, Small-World Metric: 0.0051
Pheromone scale: 11.1282, Pheromone offset: 12.2200, Clustering Coefficient: 0.0676, Characteristic Path Length: 11.4456, Small-World Metric: 0.0059
Pheromone scale: 10.0156, Pheromone offset: 14.9221, Clustering Coefficient: 0.0585, Characteristic Path Length: 9.9319, Small-World Metric: 0.0059
Pheromone scale: 22.2331, Pheromone offset: 5.0707, Clustering Coefficient: 0.0466, Characteristic Path Length: 10.7332, Small-World Metric: 0.0043
Pheromone scale: 20.4955, Pheromone offset: 8.9986, Clustering Coefficient: 0.0234, Characteristic Path Length: 11.4592, Small-World Metric: 0.0020
Pheromone scale: 29.4751, Pheromone offset: 7.3277, Clustering Coefficient: 0.0513, Characteristic Path Length: 12.8603, Small-World Metric: 0.0040
Pheromone scale: 22.3677, Pheromone offset: 8.8246, Clustering Coefficient: 0.0459, Characteristic Path Length: 12.0452, Small-World Metric: 0.0038
Pheromone scale: 19.3353, Pheromone offset: 13.5994, Clustering Coefficient: 0.0000, Characteristic Path Length: 10.1268, Small-World Metric: 0.0000
Pheromone scale: 10.0000, Pheromone offset: 10.2371, Clustering Coefficient: 0.0359, Characteristic Path Length: 12.9645, Small-World Metric: 0.0028
Pheromone scale: 24.4516, Pheromone offset: 11.4336, Clustering Coefficient: 0.0463, Characteristic Path Length: 12.0214, Small-World Metric: 0.0038
Pheromone scale: 10.0293, Pheromone offset: 10.5844, Clustering Coefficient: 0.0622, Characteristic Path Length: 9.9868, Small-World Metric: 0.0062
Pheromone scale: 16.3404, Pheromone offset: 7.3852, Clustering Coefficient: 0.0253, Characteristic Path Length: 13.7416, Small-World Metric: 0.0018
Pheromone scale: 10.0000, Pheromone offset: 11.8098, Clustering Coefficient: 0.0522, Characteristic Path Length: 11.3195, Small-World Metric: 0.0046
Pheromone scale: 10.0669, Pheromone offset: 13.4106, Clustering Coefficient: 0.0343, Characteristic Path Length: 10.5315, Small-World Metric: 0.0033
Pheromone scale: 10.2065, Pheromone offset: 9.7045, Clustering Coefficient: 0.0657, Characteristic Path Length: 10.3767, Small-World Metric: 0.0063
Pheromone scale: 29.4442, Pheromone offset: 13.5640, Clustering Coefficient: 0.0455, Characteristic Path Length: 11.8669, Small-World Metric: 0.0038
Pheromone scale: 15.1259, Pheromone offset: 14.5463, Clustering Coefficient: 0.0253, Characteristic Path Length: 11.8145, Small-World Metric: 0.0021
Pheromone scale: 29.8207, Pheromone offset: 11.7267, Clustering Coefficient: 0.0488, Characteristic Path Length: 11.8946, Small-World Metric: 0.0041
Pheromone scale: 29.9214, Pheromone offset: 8.3784, Clustering Coefficient: 0.0000, Characteristic Path Length: 12.7058, Small-World Metric: 0.0000
Pheromone scale: 21.1069, Pheromone offset: 6.3881, Clustering Coefficient: 0.0373, Characteristic Path Length: 11.7977, Small-World Metric: 0.0032
Pheromone scale: 10.0793, Pheromone offset: 13.2155, Clustering Coefficient: 0.0662, Characteristic Path Length: 11.0304, Small-World Metric: 0.0060
Pheromone scale: 29.9930, Pheromone offset: 6.5567, Clustering Coefficient: 0.0128, Characteristic Path Length: 12.5152, Small-World Metric: 0.0010
Pheromone scale: 29.9075, Pheromone offset: 10.0508, Clustering Coefficient: 0.0459, Characteristic Path Length: 10.4682, Small-World Metric: 0.0044
Pheromone scale: 10.4416, Pheromone offset: 12.4992, Clustering Coefficient: 0.0126, Characteristic Path Length: 12.0373, Small-World Metric: 0.0010
Pheromone scale: 10.3373, Pheromone offset: 11.6786, Clustering Coefficient: 0.0545, Characteristic Path Length: 10.7480, Small-World Metric: 0.0051
Pheromone scale: 10.1707, Pheromone offset: 5.1707, Clustering Coefficient: 0.0746, Characteristic Path Length: 12.5110, Small-World Metric: 0.0060
Pheromone scale: 10.0000, Pheromone offset: 7.5272, Clustering Coefficient: 0.0726, Characteristic Path Length: 11.1554, Small-World Metric: 0.0065
Pheromone scale: 29.8717, Pheromone offset: 8.0327, Clustering Coefficient: 0.0282, Characteristic Path Length: 13.8681, Small-World Metric: 0.0020
Pheromone scale: 23.5086, Pheromone offset: 8.7569, Clustering Coefficient: 0.0529, Characteristic Path Length: 11.9861, Small-World Metric: 0.0044
Pheromone scale: 29.8467, Pheromone offset: 11.6872, Clustering Coefficient: 0.0000, Characteristic Path Length: 12.7576, Small-World Metric: 0.0000
Pheromone scale: 19.4710, Pheromone offset: 10.4946, Clustering Coefficient: 0.0641, Characteristic Path Length: 10.4857, Small-World Metric: 0.0061
Pheromone scale: 14.6435, Pheromone offset: 13.0743, Clustering Coefficient: 0.0000, Characteristic Path Length: 10.2219, Small-World Metric: 0.0000
Pheromone scale: 10.1387, Pheromone offset: 5.0000, Clustering Coefficient: 0.0606, Characteristic Path Length: 10.5604, Small-World Metric: 0.0057
Pheromone scale: 26.4632, Pheromone offset: 14.8250, Clustering Coefficient: 0.0455, Characteristic Path Length: 12.1027, Small-World Metric: 0.0038
Pheromone scale: 27.0692, Pheromone offset: 5.2698, Clustering Coefficient: 0.0882, Characteristic Path Length: 9.7877, Small-World Metric: 0.0090
Pheromone scale: 27.0695, Pheromone offset: 5.1749, Clustering Coefficient: 0.0615, Characteristic Path Length: 10.2779, Small-World Metric: 0.0060
Pheromone scale: 15.1538, Pheromone offset: 6.1633, Clustering Coefficient: 0.0128, Characteristic Path Length: 9.6456, Small-World Metric: 0.0013
Pheromone scale: 25.8547, Pheromone offset: 6.5066, Clustering Coefficient: 0.0368, Characteristic Path Length: 11.5098, Small-World Metric: 0.0032
Pheromone scale: 27.3921, Pheromone offset: 6.3380, Clustering Coefficient: 0.0126, Characteristic Path Length: 10.5152, Small-World Metric: 0.0012
Pheromone scale: 20.1912, Pheromone offset: 5.5285, Clustering Coefficient: 0.0379, Characteristic Path Length: 9.8774, Small-World Metric: 0.0038
Pheromone scale: 21.4873, Pheromone offset: 5.7146, Clustering Coefficient: 0.0318, Characteristic Path Length: 12.4300, Small-World Metric: 0.0026
Pheromone scale: 26.8052, Pheromone offset: 13.2964, Clustering Coefficient: 0.0231, Characteristic Path Length: 13.1752, Small-World Metric: 0.0018
Pheromone scale: 11.5197, Pheromone offset: 12.1411, Clustering Coefficient: 0.0522, Characteristic Path Length: 9.9440, Small-World Metric: 0.0053
Pheromone scale: 21.2776, Pheromone offset: 5.3759, Clustering Coefficient: 0.0227, Characteristic Path Length: 10.5429, Small-World Metric: 0.0022
Pheromone scale: 27.0556, Pheromone offset: 6.2124, Clustering Coefficient: 0.0498, Characteristic Path Length: 10.1701, Small-World Metric: 0.0049
Pheromone scale: 18.5148, Pheromone offset: 5.9468, Clustering Coefficient: 0.0379, Characteristic Path Length: 12.8323, Small-World Metric: 0.0030
Pheromone scale: 11.9392, Pheromone offset: 13.5183, Clustering Coefficient: 0.0615, Characteristic Path Length: 12.5667, Small-World Metric: 0.0049
Pheromone scale: 17.1219, Pheromone offset: 14.0965, Clustering Coefficient: 0.0359, Characteristic Path Length: 12.5411, Small-World Metric: 0.0029
Best Hyperparameters:
{'decay': 0.1975927921532078, 'pheromone_scale': 27.069166599410984, 'pheromone_offset': 5.269824738631482}
Best Score: 0.00901490268465485
