시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
가평군,가인만당앞,Gainmandang,239000605,44204.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.5978167,127.49735
가평군,가인만당앞,Gainmandang,239000426,44177.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.59775,127.4973167
가평군,가일1리,Gail 1-ri,239000514,44339.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6073833,127.4921333
가평군,가일1리,Gail 1-ri,239000422,44293.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6073667,127.49235
가평군,가일리,Gail-ri ,239000655,44404.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6047667,127.4930833
가평군,가일리.동천마을,"Gail-ri, Dongcheon Maeul ",239000840,44544.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.60485,127.4933
가평군,가일리삼거리,Gail-ri Samgeori ,239000603,44189.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6006167,127.4930667
가평군,가일리삼거리,Gail-ri Samgeori ,239000423,44292.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6005333,127.4931167
가평군,교회앞,Church ,239000757,44680.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6858667,127.5208333
가평군,교회앞,Church ,239000350,44330.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6857833,127.5208833
가평군,구정마을,Gujeong Maeul ,239000415,44298.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6315167,127.5093
가평군,구정마을,Gujeong Maeul ,239000641,44431.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6313833,127.5091833
가평군,나이아가라,Niagara,239000694,44717.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7111167,127.4445667
가평군,나이아가라,Niagara,239000252,44099.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.7110833,127.44515
가평군,널미재,Neolmijae,239000417,44507.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.66205,127.5428333
가평군,널미재,Neolmijae,239000416,44297.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.66225,127.5428833
가평군,능골,Neunggol,239000833,44805.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6974,127.45935
가평군,능골,Neunggol,239000832,44716.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6973167,127.4591833
가평군,다리앞,Bridge,239000355,44327.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.651,127.4944833
가평군,다리앞,Bridge,239000360,44517.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6508333,127.49445
가평군,대리종점,Daeri Bus Terminal ,239000425,44291.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.5955667,127.5095833
가평군,동면,Dong-myeon,239000403,44306.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6223333,127.5155333
가평군,동면,Dong-myeon,239000409,44508.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6222167,127.5154833
가평군,면사무소앞,Myeon-Office ,239000381,44314.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6767,127.4935
가평군,면사무소앞,Myeon-Office ,239000504,44335.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6766167,127.4934167
가평군,명장부락(설악방향),Myeongjang Burak ,239000653,44406.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6707333,127.48795
가평군,명장부락(양평방면),Myeongjang Burak,239000654,44405.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6707833,127.4877
가평군,명장삼거리,Myeongjang Samgeori,239000837,44809.0,노변정류장,경기도 가평군,경기도 가평군 설악면,37.6674667,127.4836167
