정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
울업마을,44477,12,가평터미널 - 가평터미널,2024-09,일반인,0,0,0,0,0,0,5,2,5,5,0,0,0,4,0,0,0,7,5,3,5,10,1,11,0,0,0,20,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
울업마을,44477,12,가평터미널 - 가평터미널,2024-09,청소년,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,4,1,2,0,2,0,3,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
울업마을,44477,20-5,설악터미널 - 설악터미널,2024-09,일반인,0,0,0,0,0,0,2,0,3,4,0,0,12,7,1,0,4,6,6,5,2,7,0,0,0,0,4,20,5,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
울업마을,44477,20-5,설악터미널 - 설악터미널,2024-09,청소년,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
울업마을,44477,20-5,설악터미널 - 설악터미널,2024-09,경로,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
울업마을,44477,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,일반인,0,0,39,0,145,0,226,1,147,0,118,0,100,3,92,6,35,5,69,2,20,0,85,11,27,6,20,1,21,9,22,3,36,1,18,2,2,0,3,0,3,0,0,0,0,0,0,0,
울업마을,44477,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,어린이,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
울업마을,44477,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,청소년,0,0,1,0,0,0,4,3,12,0,6,0,5,0,3,0,6,0,9,0,1,0,14,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
울업마을,44477,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,경로,0,0,0,0,4,0,2,0,3,0,2,0,4,1,7,0,2,0,3,0,0,0,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
울업마을,44477,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,장애인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
