정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
효정매그놀리아국제병원,44203,20-4,설악터미널 - 설악터미널,2024-09,일반인,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
효정매그놀리아국제병원,44203,20-5,설악터미널 - 설악터미널,2024-09,일반인,0,0,0,0,0,33,3,8,7,157,0,0,44,48,3,25,38,28,35,1,46,36,0,0,1,44,71,8,34,40,0,12,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
효정매그놀리아국제병원,44203,20-5,설악터미널 - 설악터미널,2024-09,청소년,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
효정매그놀리아국제병원,44203,20-5,설악터미널 - 설악터미널,2024-09,경로,0,0,0,0,0,0,1,16,0,10,0,0,6,6,1,2,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
효정매그놀리아국제병원,44203,20-5,설악터미널 - 설악터미널,2024-09,장애인,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
효정매그놀리아국제병원,44203,20-5,설악터미널 - 설악터미널,2024-09,국가유공자,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
효정매그놀리아국제병원,44203,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,일반인,0,0,51,0,63,0,111,83,79,135,174,55,148,51,144,87,73,168,241,53,146,67,112,117,161,71,173,107,117,68,26,121,50,120,19,117,5,118,6,50,1,17,0,10,0,2,0,0,
효정매그놀리아국제병원,44203,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,어린이,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
효정매그놀리아국제병원,44203,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,청소년,0,0,1,0,1,0,4,1,4,1,2,0,4,0,3,3,1,4,5,4,7,0,1,0,6,3,3,1,0,1,0,3,5,4,1,4,0,7,0,0,0,2,0,2,0,0,0,0,
효정매그놀리아국제병원,44203,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,경로,0,0,1,0,0,0,0,1,1,10,6,2,8,1,7,5,5,5,6,2,9,4,4,0,0,2,2,0,0,0,1,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,
효정매그놀리아국제병원,44203,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,장애인,0,0,3,0,0,0,7,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,2,0,2,1,1,3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,
효정매그놀리아국제병원,44203,7001,효정매그놀리아국제병원 - 효정매그놀리아국제병원,2024-09,국가유공자,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
