정류소명,정류소영문명,정류소id,정류소번호,WGS84위도,WGS84경도,lat,lon,value,x,y,nodes
가인만당앞,Gainmandang,239000605,44204.0,37.5978167,127.49735,37.5978167,127.49735,4,85,12,"(85, 12)"
가일1리,Gail 1-ri,239000514,44339.0,37.6073833,127.4921333,37.6073833,127.4921333,4,80,22,"(80, 22)"
가일1리,Gail 1-ri,239000422,44293.0,37.6073667,127.49235,37.6073667,127.49235,4,80,21,"(80, 21)"
가일리,Gail-ri ,239000655,44404.0,37.6047667,127.4930833,37.6047667,127.4930833,4,81,19,"(81, 19)"
가일리삼거리,Gail-ri Samgeori ,239000603,44189.0,37.6006167,127.4930667,37.6006167,127.4930667,4,81,15,"(81, 15)"
교회앞,Church ,239000757,44680.0,37.6858667,127.5208333,37.6858667,127.5208333,4,109,100,"(109, 100)"
구정마을,Gujeong Maeul ,239000415,44298.0,37.6315167,127.5093,37.6315167,127.5093,4,97,46,"(97, 46)"
나이아가라,Niagara,239000694,44717.0,37.7111167,127.4445667,37.7111167,127.4445667,4,32,125,"(32, 125)"
나이아가라,Niagara,239000252,44099.0,37.7110833,127.44515,37.7110833,127.44515,4,33,125,"(33, 125)"
널미재,Neolmijae,239000417,44507.0,37.66205,127.5428333,37.66205,127.5428333,4,131,76,"(131, 76)"
능골,Neunggol,239000833,44805.0,37.6974,127.45935,37.6974,127.45935,4,47,112,"(47, 112)"
능골,Neunggol,239000832,44716.0,37.6973167,127.4591833,37.6973167,127.4591833,4,47,111,"(47, 111)"
다리앞,Bridge,239000355,44327.0,37.651,127.4944833,37.651,127.4944833,4,82,65,"(82, 65)"
대리종점,Daeri Bus Terminal ,239000425,44291.0,37.5955667,127.5095833,37.5955667,127.5095833,4,97,10,"(97, 10)"
동면,Dong-myeon,239000403,44306.0,37.6223333,127.5155333,37.6223333,127.5155333,4,103,36,"(103, 36)"
면사무소앞,Myeon-Office ,239000381,44314.0,37.6767,127.4935,37.6767,127.4935,4,81,91,"(81, 91)"
명장부락(설악방향),Myeongjang Burak ,239000653,44406.0,37.6707333,127.48795,37.6707333,127.48795,4,76,85,"(76, 85)"
명장삼거리,Myeongjang Samgeori,239000837,44809.0,37.6674667,127.4836167,37.6674667,127.4836167,4,71,82,"(71, 82)"
묵안리,Mugan-ri,239000398,44309.0,37.6034333,127.5329,37.6034333,127.5329,4,121,18,"(121, 18)"
묵안리,Mugan-ri,239000400,44308.0,37.60335,127.5329167,37.60335,127.5329167,4,121,17,"(121, 17)"
묵안리종점,Mugan-ri Bus Terminal ,239000399,44163.0,37.5966333,127.5397,37.5966333,127.5397,4,128,11,"(128, 11)"
미사1리회관,Misa 1-ri Community Center,239000346,44333.0,37.7042833,127.5394833,37.7042833,127.5394833,4,127,118,"(127, 118)"
미사2리회관,Misa 2-ri Community Center,239000348,44478.0,37.7129333,127.5411,37.7129333,127.5411,4,129,127,"(129, 127)"
바하마,Bahama,239000620,44090.0,37.7192667,127.4325167,37.7192667,127.4325167,4,20,133,"(20, 133)"
바하마,Bahama,239000250,44091.0,37.7194167,127.4325167,37.7194167,127.4325167,4,20,134,"(20, 134)"
발전소,Power Plant,239000619,44081.0,37.7227167,127.4222167,37.7227167,127.4222167,4,10,137,"(10, 137)"
방일리,Bang-il-ri,239000420,44294.0,37.6232667,127.4951333,37.6232667,127.4951333,4,83,37,"(83, 37)"
배치고개,Baechi Gogae,239000703,44419.0,37.6650333,127.4457667,37.6650333,127.4457667,4,34,79,"(34, 79)"
배치고개,Baechigogae,239000700,44479.0,37.6649833,127.4454333,37.6649833,127.4454333,4,33,79,"(33, 79)"
버싯게,Beositgae,239000396,44310.0,37.6112,127.5222333,37.6112,127.5222333,4,110,25,"(110, 25)"
벌미마을,Beolmi Maeul ,239000867,44843.0,37.6670167,127.5146167,37.6670167,127.5146167,4,102,81,"(102, 81)"
보물섬,Bomulseom,239000614,44554.0,37.6844667,127.4698167,37.6844667,127.4698167,4,58,99,"(58, 99)"
보물섬,Bomulseom,239000388,44512.0,37.6842833,127.4698,37.6842833,127.4698,4,58,98,"(58, 98)"
불기마을,Bulgi Maeul ,239000606,44386.0,37.6355333,127.4817833,37.6355333,127.4817833,4,70,50,"(70, 50)"
불기마을,Bulgi Maeul,239000371,44315.0,37.6363667,127.4812167,37.6363667,127.4812167,4,69,50,"(69, 50)"
뽀루봉,Pporubong,239000616,44084.0,37.72115,127.4278,37.72115,127.4278,4,16,135,"(16, 135)"
뽕나무거리,Ppongnamu Street,239000372,44514.0,37.6414667,127.47635,37.6414667,127.47635,4,64,56,"(64, 56)"
